"seed","game","game_date","attemptCount","completeCount","avgMoves","winPerc"
"OTqnce5BHa3jNYTBNlFX8vODI4sGMSQvaRh/2yoxX5k=","klondike-turn-1","2024-06-06",224,126,156,56
"7X+VAS15FTmsJ753J5kc5CDJFgMAz6F0nTh282i+7kg=","klondike-turn-1","2024-06-07",219,183,147,84
"iEQfSjuz8kqt7MndhbBDpQCwxw6Pa59FWrS5wzvJS7g=","klondike-turn-1","2024-06-08",227,143,133,63
"xp3LfAHkDKf1K9tLpnts6tmxO6CJ7+Z19zK5VGkZkZQ=","klondike-turn-1","2024-06-09",214,169,127,79
"QDve1ekJQREYVrTX5Zevc3T+D6XISGIDBw5GaRr/Mew=","klondike-turn-1","2024-06-10",212,90,133,42
"LckgGVGX0yl4Hr/wDtslyrZmTcTGVEx2kf8MV0TpCGs=","klondike-turn-1","2024-06-11",229,126,150,55
"bpGobh/GsKs7ZrMipKsgHp7wtE86eYz1TCqslZX5CZY=","klondike-turn-1","2024-06-12",219,116,136,53
"/YLlW3J1QBYVXzZYzuuNRwBzjQsz7df7EqHqndNwXeI=","klondike-turn-1","2024-06-13",226,53,157,23
"fdCQIqwQW/RqoIhow33+BypuPuQZMZFHeWSHakNDQKw=","klondike-turn-1","2024-06-14",223,105,132,47
"6KOTzq6+s2oE/Pe+a4WIoC8Z+UnJ2x7i0Hky3NoY7fM=","klondike-turn-1","2024-06-15",221,169,131,76
"VN0agfKXtjERI7m1hYX1HXpi2fjUZRTxGvILB5UCLuk=","klondike-turn-1","2024-06-16",229,175,140,76
"4NobhS8D1T2k6LXBqpDj5v9HgS9/1ZdbVayu7Xn159I=","klondike-turn-1","2024-06-17",221,36,266,16
"+6rW3XTUfYnrWsUaM8P5hfuCz9tC8sGNRV6GQMck02I=","klondike-turn-1","2024-06-18",216,109,138,50
"ds88EuOPTWQwgi5KKWnLQoWZtxeB287u06gk1nhLFeo=","klondike-turn-1","2024-06-19",223,167,143,75
"2LntrhxFcrT8t9LnwdFh1RRa4sE4IsQZmJn+62mrrrs=","klondike-turn-1","2024-06-20",225,78,138,35
"QU0tkKoZL8HEIX3xI5hjfbTO802e1Gg49BII6oywlsc=","klondike-turn-1","2024-06-21",233,159,147,68
"eTZx5bvQzIexEQLjY18t7cMhx7fP8JTMmyCncFNNY1k=","klondike-turn-1","2024-06-22",222,118,142,53
"9IqVOxXZYVgVtPzASyTPKdXELxy+AM8mMWeVraSDLNM=","klondike-turn-1","2024-06-23",219,197,135,90
"eDtBj6ym0AgOyLj0EMAK2Yd469FY1ki7pD0dYv7QJIs=","klondike-turn-1","2024-06-24",233,97,138,42
"zJbiJcBNbr/GQFeE2ILQNeMIvnxXAHBrQ77JkZXNJwM=","klondike-turn-1","2024-06-25",227,166,129,73
"Ct+4/K1jb+kiOETFuxNdYcRH9KOpntKMVkYfJd5YbKg=","klondike-turn-1","2024-06-26",216,150,145,69
"1vSJ8iEZQACFmUiSyFEh9YqIwIIh5g61+52QrfcOhEI=","klondike-turn-1","2024-06-27",226,168,130,74
"VB2ehORTOxWXK05isCKnN8ThhXBudjlDPNnpXeLAGyU=","klondike-turn-1","2024-06-28",229,139,146,61
"uWB8fm5PFnd3P8sFZGuY+D/dg02gAKIeQndJXCE9pU8=","klondike-turn-1","2024-06-29",222,94,155,42
"mJA25oWKbiFqjqmmcY8uy7KsBT2EiGDd2LA8Qm2N0zw=","klondike-turn-1","2024-06-30",220,19,159,9
"rLv4QfusPk0QaP5Vt2V8LndfhQqZMc5lxuqlVXiaOGY=","klondike-turn-1","2024-07-01",216,181,138,84
"77MPmfhpCl8ZLY93SnyieiKbnmsp8Fixl7k8X2DmRog=","klondike-turn-1","2024-07-02",213,148,136,69
"SIm+0Zqo+LsLyqaE023wVK2DWtuKujzZhAqWCJdSd2w=","klondike-turn-1","2024-07-03",221,80,155,36
"R2lh9KTwjcAPhfp1yabehnTEZEx9FWmJFV5p31qA1+8=","klondike-turn-1","2024-07-04",214,168,130,79
"N5bALUp3m66CvF7of6h6NV11xdrBqUQESbNO+oJs2I8=","klondike-turn-1","2024-07-05",225,82,148,36
"dZ5bGeFNfW6kVecQUSmQpyEAe1Eyh8w85D1xp9V2W+E=","klondike-turn-1","2024-07-06",223,133,134,60
"8M+noI3mcoUpqz86nUVPyF0Aoq6HhgSDzHtjuG+GR+U=","klondike-turn-1","2024-07-07",224,152,156,68
"jWdjvo8LfvKU+5COJxm+51StMaOGM8/HK8rIiIUp85o=","klondike-turn-1","2024-07-08",214,154,127,72
"RlU/wn7BLaBlKhtRgcnLnOCUnfommmKgdOg0ZifS9ME=","klondike-turn-1","2024-07-09",219,96,155,44
"8OkIJyXAun6xlAILgFtPr4RM959pRSMDk8F4uR4ML+k=","klondike-turn-1","2024-07-10",216,185,144,86
"xUWWfDZy279ifqbSm2hADvRHAsiUZhEcPAfGq9gTo6Y=","klondike-turn-1","2024-07-11",219,193,140,88
"IfyTBJYRRfVT81dVgVoLCzBLDSmYSmIJX/2tZgIyIpQ=","klondike-turn-1","2024-07-12",219,170,132,78
"aq6bSJn6PEWpKQY3q4aaLrlJ/RUBmceeLQLvA46xb8Q=","klondike-turn-1","2024-07-13",224,157,137,70
"U/X2XO9KlybZMe4csIxoXfca3sS4XW2XFmTX19fDeV0=","klondike-turn-1","2024-07-14",221,153,144,69
"fnXth049EHmQuWbFlt70vTgWmrpY1xi5vV10Feqg76I=","klondike-turn-1","2024-07-15",226,107,138,47
"QVUl1Fl3ksQ18qniZq134TQ1SnE5vPyZHz6+NWf44/U=","klondike-turn-1","2024-07-16",218,173,156,79
